bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,0,0,0,,37,37,NOCODE_Ambermo,ambe1246,{},,language,,,Ambermo,'Ambermo [ambe1246]-l-':1,538,extinct
False,0,0,0,,10,7600,ael,ambe1247,{},5.94043,language,9.62028,,Ambele,'Ambele [ambe1247][ael]-l-':1,10192,safe
False,0,0,0,,21,10394,amv,ambe1248,{},-3.85919,language,127.196,,Ambelau,'Ambelau [ambe1248][amv]-l-':1,13129,safe
False,0,0,0,,21,17764,alm,ambl1237,{},-15.5169,language,166.95,,Amblong,'Amblong [ambl1237][alm]-l-':1,19524,definitely endangered
False,0,0,0,,10,10171,amb,ambo1249,{},7.07637,language,10.7798,,Ambo,'Ambo [ambo1249][amb]-l-':1,12844,safe
False,1,0,0,,21,16007,abs,ambo1250,{},-3.71342,language,128.184,,Ambonese Malay,('Dobo Malay [dobo1244]':1)'Ambonese Malay [ambo1250][abs]-l-':1,18115,safe
False,0,0,0,,214,4453,qva,ambo1252,{},-10.5138,language,-76.1135,,Ambo-Pasco Quechua,'Ambo-Pasco Quechua [ambo1252][qva]-l-':1,6652,severely endangered
False,0,0,0,,353,3018,aag,ambr1239,{},-3.61,language,142.56,,Ambrak,'Ambrak [ambr1239][aag]-l-':1,4739,safe
False,4,0,0,,423,3406,abt,ambu1247,{},-3.7801,language,143.059,,Ambulas,"('Maprik [mapr1240]':1,'Wingei [wing1239]':1,'Wosera-Kamu [wose1244]':1,'Wosera-Mamu [wose1243]':1)'Ambulas [ambu1247][abt]-l-':1",5118,safe
False,0,0,0,,46,46,amj,amda1238,{},14.7528,language,20.8912,,Amdang,'Amdang [amda1238][amj]-l-':1,622,safe
False,4,0,0,,151,6424,adx,amdo1237,{},34.5177,language,100.485,,Amdo Tibetan,"('Hbrogpa [hbro1238]':1,'Rongba [rong1262]':1,'Rongmahbrogpa [rong1261]':1,'Rtahu [rtah1238]':1)'Amdo Tibetan [amdo1237][adx]-l-':1",9057,safe
False,3,0,0,,50,5564,aey,amel1241,{},-5.29126,language,145.687,,Amele,"('Haija [haij1242]':1,'Huar [huar1254]':1,'Jagahala [jaga1247]':1)'Amele [amel1241][aey]-l-':1",8103,safe
